Core-index,jlpt,Vocab-expression,Vocab-kana,Bahasa-meaning,Vocab-meaning-eng,Vocab-pos,Sentence-expression,Sentence-kana,Sentence-meaning-Bahasa,Sentence-meaning-eng
330,JLPT4,五つ,いつつ,Lima,five (things),Noun,桃を五つください。,もも を いつつ ください,Beri saya lima buah persik.,"I'd like five peaches, please."
331,JLPT4,妹,いもうと,Adik perempuan,younger sister,Noun,私の妹は小学生です。,わたし の いもうと は しょうがくせい です,Adik perempuan saya adalah siswa SD.,My little sister goes to elementary school.
332,JLPT4,上,うえ,Atas,"up, above",Noun,上を向いて。,うえ を むいて,Lihat ke atas.,Look up.
333,JLPT3,動く,うごく,Bergerak,move,Verb,動かないで。,うごかない で,Jangan bergerak.,Freeze!
334,JLPT4,駅,えき,Stasiun,railway station,Noun,駅はどこですか。,えき は どこ です か,Di mana stasiun?,Where's the station?
335,JLPT4,おいしい,おいしい,Enak,tasty,Adjective,このケーキはおいしいね。,この けーき は おいしい ね,"Kue ini enak, ya.",This cake is yummy.
336,JLPT4,大きい,おおきい,Besar,big,Adjective,あの大きい建物は何ですか。,あの おおきい たてもの は なん です か,Bangunan besar itu apa?,What's that big building?
337,JLPT4,弟,おとうと,Adik laki-laki,younger brother,Noun,弟は野球が好きです。,おとうと は やきゅう が すき です,Adik laki-laki saya suka baseball.,My little brother likes baseball.
338,JLPT4,男,おとこ,Pria,"man, male",Noun,男の人が私たちに話しかけた。,おとこ の ひと が わたしたち に はなしかけた,Seorang pria berbicara kepada kami.,This guy began talking to us.
339,JLPT4,大人,おとな,Dewasa,adult,Noun,お酒は大人になってから。,おさけ は おとな に なって から,Minum alkohol setelah dewasa.,You can drink alcohol when you're an adult.
340,JLPT0,お願い,おねがい,Permintaan,favor,Verbal Noun,お願いがあります。,おねがい が あります,Saya punya permintaan.,I have a favor to ask.
341,JLPT4,女,おんな,Wanita,"woman, girl",Noun,店員は若い女の人でした。,てんいん は わかい おんな の ひと でした,Pelayan toko adalah wanita muda.,The salesclerk was a young woman.
342,JLPT2,金,かね,Uang,money,Noun,これはかなり金がかかった。,これ は かなり かね が かかった,Ini memakan cukup banyak uang.,This cost quite a bit of money.
343,JLPT3,彼,かれ,Dia (pria),"he, one's boyfriend",Noun,彼は私の上司です。,かれ は わたし の じょうし です,Dia adalah bos saya.,He's my senior.
344,JLPT4,昨日,きのう,Kemarin,yesterday,Noun,昨日、友達に会った。,きのう ともだち に あった,Kemarin saya bertemu teman.,I met a friend yesterday.
345,JLPT0,奇麗,きれい,Cantik,beautiful,Adjectival Noun,彼女はとても奇麗だ。,かのじょ は とても きれい だ,Dia sangat cantik.,She's very beautiful.
346,JLPT4,口,くち,Mulut,mouth,Noun,口を大きく開けてください。,くち を おおきく あけて ください,Tolong buka mulutmu lebar-lebar.,"Open wide, please."
347,JLPT4,五,ご,Lima,five,Noun,五人で旅行に行きました。,ごにん で りょこう に いきました,Kami pergi berlibur berlima.,Five of us went on a trip.
348,JLPT4,九日,ここのか,Sembilan hari,"nine days, 9th of the month",Noun,九日に荷物が届きます。,ここのか に にもつ が とどきます,Paket akan tiba pada tanggal sembilan.,The package will arrive on the ninth.
349,JLPT4,九つ,ここのつ,Sembilan,nine (things),Noun,娘は明日九つになります。,むすめ は あす ここのつ に なります,Besok putri saya berumur sembilan tahun.,My daughter's turning nine tomorrow.
350,JLPT4,答える,こたえる,Menjawab,"answer, reply",Verb,私の質問に答えてください。,わたし の しつもん に こたえて ください,Tolong jawab pertanyaan saya.,Please answer my question.
351,JLPT4,先,さき,Duluan,"ahead, first",Noun,お先にどうぞ。,おさきに どうぞ,Silakan duluan.,Please go ahead.
352,JLPT4,寒い,さむい,Dingin,cold (temperature of the air),Adjective,この部屋は寒いです。,この へや は さむい です,Ruangan ini dingin.,It's cold in this room.
353,JLPT4,四,し,Empat,four,Noun,四月に大学に入学しました。,しがつ に だいがく に にゅうがく しました,Ini kali keempat saya di Hawaii.,I entered my university in April.
354,JLPT4,下,した,Bawah,"under, below",Noun,財布は机の下にあった。,さいふ は つくえ の した に あった,Dompet ada di bawah meja.,My purse was under the desk.
355,JLPT4,大丈夫,だいじょうぶ,Baik-baik saja,"alright, OK",Adjectival Noun,大丈夫ですか。,だいじょうぶ です か,Apakah kamu baik-baik saja?,Are you OK?
356,JLPT4,出す,だす,Mengeluarkan,take out,Verb,彼はかばんから教科書を出した。,かれ は かばん から きょうかしょ を だした,Dia mengeluarkan buku pelajaran dari tas.,He took the textbook out of his bag.
357,JLPT4,小さい,ちいさい,Kecil,small,Adjective,小さい花が咲いています。,ちいさい はな が さいて います,Bunga kecil sedang mekar.,Small flowers are blooming.
358,JLPT4,父,ちち,Ayah,(speaker's)father,Noun,私は父が大好きです。,わたし は ちち が だいすき です,Saya sangat suka ayah.,I love my father.
359,JLPT4,一日,ついたち,Satu hari,1st of the month,Noun,来月の一日は空いていますか。,らいげつ の ついたち は あいています か,Apakah kamu kosong pada tanggal satu bulan depan?,Are you free on the 1st of next month?
360,JLPT2,月,つき,Bulan,moon,Noun,今夜は月がとてもきれいです。,こんや は つき が とても きれい です,Bulan sangat indah malam ini.,The moon looks so beautiful tonight.
361,JLPT3,妻,つま,Istri,wife,Noun,今日は妻の誕生日だ。,きょう は つま の たんじょうび だ,Hari ini ulang tahun istri saya.,It's my wife's birthday today.
362,JLPT4,冷たい,つめたい,Dingin,"cold (things, touch)",Adjective,冷たい飲み物をください。,つめたい のみもの を ください,Beri saya minuman dingin.,Please give me a cold drink.
363,JLPT4,手,て,Tangan,hand,Noun,分かった人は手を上げてください。,わかった ひと は て を あげて ください,"Yang tahu, angkat tangan.",Please raise your hand if you understand.
364,JLPT4,十日,とおか,Sepuluh hari,"ten days, 10th of the month",Noun,十日後に帰ります。,とおかご に かえります,Saya akan pulang dalam sepuluh hari.,I'll come home in ten days.
365,JLPT4,時々,ときどき,Kadang-kadang,sometimes,Adverb,彼は時々遅刻します。,かれ は ときどき ちこく します,Dia kadang-kadang terlambat.,He's sometimes late.
366,JLPT4,夏,なつ,Musim panas,summer,Noun,私は夏が大好き。,わたし は なつ が だいすき,Saya sangat suka musim panas.,I just love summer.
367,JLPT4,七つ,ななつ,Tujuh,seven (things),Noun,この子は今年七つになります。,この こ は ことし ななつ に なります,Anak ini akan berumur tujuh tahun tahun ini.,Our kid's turning seven this year.
368,JLPT4,何,なに,Apa,"what, which",Noun,夕食には何を食べたいですか。,ゆうしょく に は なに を たべたい です か,Apa yang ingin kamu makan untuk makan malam?,What would you like for supper?
369,JLPT4,七日,なのか,Tujuh hari,"seven days, 7th of the month",Noun,先月の七日に孫が生まれました。,せんげつ の なのか に まご が うまれました,Cucu saya lahir pada tanggal tujuh bulan lalu.,My grandchild was born on the seventh of last month.
370,JLPT4,母,はは,Ibu,(speaker's)mother,Noun,昨日、母と話をしました。,きのう はは と はなし を しました,Saya berbicara dengan ibu kemarin.,I talked to my mother yesterday.
371,JLPT4,人,ひと,Orang,person,Noun,彼は優しい人です。,かれ は やさしい ひと です,Dia orang yang baik.,He's a nice guy.
372,JLPT4,一人,ひとり,Sendirian,"one, one person",Noun,そこには私一人しかいなかった。,そこ に は わたし ひとり しか いなかった,Saya satu-satunya orang di sana.,I was the only one there.
373,JLPT4,百,ひゃく,Seratus,hundred,Noun,私の祖母は百才です。,わたし の そぼ は ひゃくさい です,Nenek saya berumur seratus tahun.,My grandmother is 100 years old.
374,JLPT2,方,ほう,Arah,"direction, side",Noun,彼は私の方を見ました。,かれ は わたし の ほう を みました,Dia melihat ke arah saya.,He looked at me.
375,JLPT2,他,ほか,Lain,other,Noun,他に方法がありません。,ほか に ほうほう が ありません,Tidak ada cara lain.,There's no other way.
376,JLPT3,僕,ぼく,Saya,I (young male),Noun,僕は学生です。,ぼく は がくせい です,Saya seorang pelajar.,I'm a student.
377,JLPT4,欲しい,ほしい,Ingin,"want, desire",Adjective,僕は新しい靴が欲しいです。,ぼく は あたらしい くつ が ほしい です,Saya ingin sepatu baru.,I want new shoes.
378,JLPT4,万,まん,Sepuluh ribu,ten thousand,Noun,この靴は1万円です。,この くつ は いちまんえん です,Sepatu ini berharga 10 ribu yen.,These shoes are ten thousand yen.
379,JLPT3,見える,みえる,Terlihat,be visible,Verb,ここから富士山がよく見えます。,ここ から ふじさん が よく みえます,Gunung Fuji terlihat jelas dari sini.,You can see Mount Fuji well from here.
380,JLPT4,店,みせ,Toko,"shop, store",Noun,私はこの店によく来ます。,わたし は この みせ に よく きます,Saya sering datang ke toko ini.,I come to this store quite often.
381,JLPT4,道,みち,Jalan,"road, street",Noun,この道を真っ直ぐ行くと駅です。,この みち を まっすぐ いく と えき です,Jalan lurus di jalan ini adalah stasiun.,Go straight along this road to get to the station.
382,JLPT4,目,め,Mata,eye,Noun,彼女は青い目をしています。,かのじょ は あおい め を して います,Dia punya mata biru.,She has blue eyes.
383,JLPT4,八つ,やっつ,Delapan,eight (things),Noun,あの家には時計が八つあります。,あの いえ に は とけい が やっつ あります,Ada delapan jam di rumah itu.,There are eight clocks in that house.
384,JLPT2,止める,やめる,Menghentikan,"stop, give up, abolish",Verb,話すのを止めてください。,はなす の を やめて ください,Tolong berhenti berbicara.,"Stop talking, please."
385,JLPT4,四日,よっか,Empat hari,"four days, 4th of the month",Noun,新学期は来月の四日からです。,しんがっき は らいげつ の よっか から です,Semester baru dimulai pada tanggal empat bulan depan.,The new school term starts on the fourth of next month.
386,JLPT4,夜,よる,Malam,night (from sunset to sunrise),Noun,きのうの夜は家にいました。,きのう の よる は いえ に いました,Saya berada di rumah tadi malam.,I was at home last night.
387,JLPT2,四,よん,Empat,four,Noun,ハワイは四回目です。,はわい は よんかいめ です,Ini kali keempat saya di Hawaii.,This is my fourth trip to Hawaii.
388,JLPT4,来年,らいねん,Tahun depan,next year,Noun,来年一緒に旅行しましょう。,らいねん いっしょ に りょこう しましょう,Mari pergi berlibur bersama tahun depan.,Let's travel together next year.
389,JLPT4,六,ろく,Enam,six,Noun,彼には子供が六人います。,かれ に は こども が ろくにん います,Dia punya enam anak.,He has six children.
390,JLPT4,悪い,わるい,Buruk,bad,Adjective,たばこは体に悪い。,たばこ は からだ に わるい,Rokok buruk bagi kesehatan.,Cigarettes are bad for your health.
391,JLPT4,お手洗い,おてあらい,Toilet,"toilet, bathroom",Noun,お手洗いはどこですか。,おてあらい は どこ です か,Di mana toilet?,Where's the bathroom?
392,JLPT0,ご主人,ごしゅじん,Suami,(your) husband,Noun,ご主人はお元気ですか。,ごしゅじん は おげんき です か,Apakah suamimu sehat?,How is your husband?
393,JLPT0,本当に,ほんとうに,Benar-benar,"really, truly",Adverb,あなたが本当に好きです。,あなた が ほんとうに すき です,Saya benar-benar suka kamu.,I really like you.
394,JLPT4,自分,じぶん,Sendiri,"self, oneself",Noun,宿題は自分でやりなさい。,しゅくだい は じぶん で やりなさい,Kerjakan PR sendiri.,Do your homework by yourself.
395,JLPT4,なる,なる,Menjadi,become,Verb,柿の木に実がたくさんなっています。,かきのき に み が たくさん なって います,Banyak buah tumbuh di pohon kesemek.,A lot of fruit is ripening on the persimmon tree.
396,JLPT3,ため,ため,Untuk,"sake, purpose",Noun,これは医者のためのサイトです。,これ は いしゃ の ため の さいと です,Ini adalah situs untuk dokter.,This is a site for doctors.
397,JLPT2,円,えん,Yen,yen,Noun,カレーライスは700円です。,かれーらいす は ななひゃくえん です,Kare rice harganya 700 yen.,The curry and rice is 700 yen.
398,JLPT3,場合,ばあい,Kasus,"situation, case",Noun,分からない場合は私に聞いてください。,わからない ばあい は わたし に きいて ください,"Jika tidak mengerti, tanyakan pada saya.",Please ask me if you don't understand.
399,JLPT4,休む,やすむ,Istirahat,"take a day off, take a break",Verb,明日、会社を休みます。,あした かいしゃ を やすみます,Saya akan istirahat dari kerja besok.,I'm off work tomorrow.
400,JLPT3,見つかる,みつかる,Ditemukan,"be found, be caught",Verb,メガネが見つかりません。,めがね が みつかりません,Kacamata saya tidak ditemukan.,I can't find my glasses.
401,JLPT4,問題,もんだい,Masalah,"problem, question",Noun,問題が一つあります。,もんだい が ひとつ あります,Ada satu masalah.,There's one problem.
402,JLPT1,開発,かいはつ,Pengembangan,development,Verbal Noun,ダムの開発に住民は反対しています。,だむ の かいはつ に じゅうみん は はんたい して います,Penduduk menentang pengembangan bendungan.,The residents are against the development of the dam.
403,JLPT2,事件,じけん,Kasus,"affair, case",Noun,その事件の犯人はまだ捕まっていない。,その じけん の はんにん は まだ つかまって いない,Pelaku kasus itu belum tertangkap.,The perpetrator of the incident hasn't been caught yet.
404,JLPT3,必要,ひつよう,Diperlukan,"need, necessity",Adjectival Noun,私にはたくさんのお金が必要だ。,わたし に は たくさん の おかね が ひつよう だ,Saya memerlukan banyak uang.,I need a lot of money.
405,JLPT2,企業,きぎょう,Perusahaan,"corporation, business",Noun,彼女はアメリカの企業で働いています。,かのじょ は あめりか の きぎょう で はたらいて います,Dia bekerja di perusahaan Amerika.,She works in an American company.
406,JLPT3,行う,おこなう,Melaksanakan,"do, carry out",Verb,その会社は来月、キャンペーンを行う。,その かいしゃ は らいげつ きゃんぺーん を おこなう,Perusahaan itu akan melaksanakan kampanye bulan depan.,That company is going to run a campaign next month.
407,JLPT2,現在,げんざい,Saat ini,"the present, present time",Noun,現在の気温は30度です。,げんざい の きおん は さんじゅうど です,Suhu saat ini adalah 30 derajat.,The current temperature is 30 degrees.
408,JLPT3,利用,りよう,Menggunakan,"utilization, usage",Verbal Noun,私はよく図書館を利用します。,わたし は よく としょかん を りよう します,Saya sering menggunakan perpustakaan.,I often use the library.
409,JLPT2,首相,しゅしょう,Perdana Menteri,prime minister,Noun,今の首相はあまり力がない。,いま の しゅしょう は あまり ちから が ない,Perdana Menteri saat ini tidak memiliki banyak kekuatan.,The current Prime Minister doesn't have much power.
410,JLPT4,持つ,もつ,Memiliki,"maintain, last long",Verb,この車はよく持っているね。,この くるま は よく もって いる ね,Mobil ini masih bagus.,This car has lasted a long time.
411,JLPT2,政府,せいふ,Pemerintah,"government, administration",Noun,そのデモについて政府は何もしなかった。,その でも に ついて せいふ は なにも しなかった,Pemerintah tidak melakukan apa-apa tentang demo itu.,The government didn't do anything about the demonstration.
412,JLPT2,発表,はっぴょう,Pengumuman,announcement,Verbal Noun,合格者が発表された。,ごうかくしゃ が はっぴょう された,Peserta yang lulus telah diumumkan.,Those who passed were announced.
413,JLPT4,開く,あく,Membuka,open,Verb,電車のドアが開きました。,でんしゃ の どあ が あきました,Pintu kereta terbuka.,The train door opened.
414,JLPT3,受ける,うける,Mengikuti,"receive, accept",Verb,彼は就職試験を受けた。,かれ は しゅうしょく しけん を うけた,Dia mengikuti ujian pekerjaan.,He took an exam to apply for a job.
415,JLPT2,より,より,Lebih,"more, further",Adverb,これから、より一層努力します。,これから より いっそう どりょく します,"Mulai sekarang, saya akan berusaha lebih keras.",I'll work that much harder from now.
416,JLPT0,昨年,さくねん,Tahun lalu,last year,Noun,昨年は地震が多い年でした。,さくねん は じしん が おおい とし でした,Tahun lalu adalah tahun dengan banyak gempa bumi.,Last year there were a lot of earthquakes.
417,JLPT2,情報,じょうほう,Informasi,information,Noun,学生たちはインターネットでいろいろな情報を集めた。,がくせいたち は いんたーねっと で いろいろな じょうほう を あつめた,Para siswa mengumpulkan berbagai informasi di internet.,The students gathered all kinds of information on the Internet.
418,JLPT2,示す,しめす,Menunjukkan,"show, indicate",Verb,彼は新製品に興味を示している。,かれ は しんせいひん に きょうみ を しめして いる,Dia menunjukkan minat pada produk baru.,He's showing interest in the new product.
419,JLPT2,建設,けんせつ,Konstruksi,"construction, building",Verbal Noun,新しいビルの建設が始まった。,あたらしい びる の けんせつ が はじまった,Konstruksi gedung baru telah dimulai.,Construction began on the new building.
420,JLPT2,販売,はんばい,Penjualan,"sale, selling",Verbal Noun,前売券は窓口で販売しています。,まえうりけん は まどぐち で はんばい して います,Tiket pre-sale dijual di loket.,Advance tickets are being sold at the ticket window.
421,JLPT3,治る,なおる,Sembuh,"be cured, get well",Verb,けがはもう治りましたか。,けが は もう なおりました か,Apakah lukamu sudah sembuh?,Is your injury better yet?
422,JLPT2,機能,きのう,Fungsi,"function, feature",Verbal Noun,このソフトにはいろいろな機能があります。,この そふと に は いろいろな きのう が あります,Perangkat lunak ini memiliki berbagai fungsi.,This software has a lot of various features.
423,JLPT3,研究,けんきゅう,Penelitian,"research, study",Verbal Noun,彼は何年も地震の研究をしている。,かれ は なんねん も じしん の けんきゅう を して いる,Dia telah melakukan penelitian tentang gempa bumi selama bertahun-tahun.,He's been researching earthquakes for many years.
424,JLPT2,一方,いっぽう,Satu arah,one way,Noun,ここは一方通行です。,ここ は いっぽう つうこう です,Ini adalah jalan satu arah.,This is a one-way street.
425,JLPT0,ドル,ドル,Dolar,dollar,Noun,この服は300ドルしました。,この ふく は さんびゃくどる しました,Pakaian ini seharga 300 dolar.,These clothes cost 300 dollars.
426,JLPT1,システム,システム,Sistem,system,Noun,全てのシステムが停止した。,すべて の しすてむ が ていし した,Semua sistem berhenti.,All systems have stopped.
427,JLPT2,頃,ころ,Waktu,time,Noun,子供の頃、よくその公園で遊んだ。,こども の ころ よく その こうえん で あそんだ,"Saat masih anak-anak, saya sering bermain di taman itu.",I often played in that park when I was a kid.
428,JLPT2,対する,たいする,Terhadap,"face, be in response to",Verb,その質問に対する答えが見つからなかった。,その しつもん に たいする こたえ が みつからなかった,Tidak menemukan jawaban terhadap pertanyaan itu.,I couldn't find an answer to that question.
429,JLPT2,方法,ほうほう,Cara,"method, procedure",Noun,いい方法を思いつきました。,いい ほうほう を おもいつきました,Saya memikirkan cara yang bagus.,We hit on a good method.
430,JLPT3,以上,いじょう,Lebih dari,"not less than, more than",Noun,飛行機が1時間以上遅れた。,ひこうき が いちじかん いじょう おくれた,Pesawat tertunda lebih dari satu jam.,The plane arrived over an hour late.
431,JLPT3,最近,さいきん,Akhir-akhir ini,"late, recent",Noun,それは最近話題の本ですね。,それ は さいきん わだい の ほん です ね,Itu adalah buku yang sedang populer akhir-akhir ini.,That's the book that people have been talking about lately.
432,JLPT2,今後,こんご,Ke depan,"after this, in the future",Noun,今後ともよろしくお願いします。,こんご とも よろしく おねがい します,Mohon dukungannya ke depan.,I look forward to working with you in the future.
433,JLPT3,世界,せかい,Dunia,world,Noun,私は世界旅行をしたい。,わたし は せかい りょこう を したい,Saya ingin melakukan perjalanan keliling dunia.,I want to travel around the world.
434,JLPT2,用いる,もちいる,Menggunakan,"use, make use of",Verb,彼はその詩を用いて自分の気持ちを伝えた。,かれ は その し を もちいて じぶん の きもち を つたえた,Dia menggunakan puisi itu untuk menyampaikan perasaannya.,He conveyed his feelings through poetry.
435,JLPT2,語る,かたる,Berbicara,"tell, talk",Verb,今夜は大いに語りましょう。,こんや は おおいに かたりましょう,Mari kita berbicara banyak malam ini.,Let's talk about everything tonight.
436,JLPT2,コンピューター,コンピューター,Komputer,computer,Noun,新しいコンピューターを買った。,あたらしい こんぴゅーたー を かった,Saya membeli komputer baru.,I bought a new computer.
437,JLPT2,中心,ちゅうしん,Tengah,"center, middle",Noun,ここが建物の中心です。,ここ が たてもの の ちゅうしん です,Ini adalah tengah bangunan.,This is the center of the building.
438,JLPT4,やる,やる,Memberi,give (to an inferior),Verb,犬にえさをやった。,いぬ に えさ を やった,Saya memberi makan anjing.,I fed the dog.
439,JLPT4,意味,いみ,Arti,"meaning, significance",Noun,それはどういう意味ですか。,それ は どういう いみ です か,Apa arti itu?,What does that mean?
440,JLPT3,計画,けいかく,Rencana,"plan, project",Verbal Noun,彼は一人旅の計画を立てた。,かれ は ひとりたび の けいかく を たてた,Dia membuat rencana perjalanan sendirian.,He planned a journey alone.
441,JLPT2,影響,えいきょう,Pengaruh,"influence, effect",Verbal Noun,私は彼から大きな影響を受けました。,わたし は かれ から おおき な えいきょう を うけました,Saya sangat dipengaruhi olehnya.,I was deeply influenced by him.
442,JLPT3,増える,ふえる,Bertambah,"increase, accrue",Verb,この町は人口が増えた。,この まち は じんこう が ふえた,Penduduk kota ini bertambah.,The population has increased in this town.
443,JLPT3,選ぶ,えらぶ,Memilih,"choose, elect",Verb,良い家を選ぶのは難しい。,よい いえ を えらぶ の は むずかしい,Sulit memilih rumah yang bagus.,It's difficult to choose a good house.
444,JLPT3,経済,けいざい,Ekonomi,"economy, economics",Noun,大学で経済を勉強しました。,だいがく で けいざい を べんきょう しました,Saya belajar ekonomi di universitas.,I studied economics in college.
445,JLPT1,導入,どうにゅう,Pengenalan,introduction,Verbal Noun,会社で新しいシステムを導入した。,かいしゃ で あたらしい しすてむ を どうにゅう した,Perusahaan memperkenalkan sistem baru.,A new system was introduced in the company.
446,JLPT3,生活,せいかつ,Hidup,"life, living",Verbal Noun,日本での生活は楽しいです。,にほん で の せいかつ は たのしい です,Hidup di Jepang menyenangkan.,Life in Japan is fun.
447,JLPT2,進める,すすめる,Melanjutkan,"advance, promote",Verb,早く授業を進めましょう。,はやく じゅぎょう を すすめましょう,Mari kita lanjutkan pelajaran.,Let's hurry up and proceed with our class.
448,JLPT3,関係,かんけい,Terkait,"relation, relationship",Verbal Noun,彼はその事件に関係がない。,かれ は その じけん に かんけい が ない,Dia tidak terkait dengan kasus itu.,He has nothing to do with that incident.
449,JLPT3,続ける,つづける,Melanjutkan,"continue, keep up",Verb,仕事を続けてください。,しごと を つづけて ください,Tolong lanjutkan pekerjaan.,Please continue working.
450,JLPT0,ロボット,ロボット,Robot,robot,Noun,彼はロボットの研究をしています。,かれ は ろぼっと の けんきゅう を しています 。,Dia meneliti robot.,He is doing research on robots.
451,JLPT3,ほとんど,ほとんど,Hampir,"almost, hardly",Adverb,お金がほとんどありません。,おかね が ほとんど ありません,Saya hampir tidak punya uang.,There's hardly any money.
452,JLPT0,国内,こくない,Domestik,"domestic, internal",Noun,この携帯電話が使えるのは国内だけです。,この けいたい でんわ が つかえる の は こくない だけ です,Ponsel ini hanya bisa digunakan di dalam negeri.,You can only use this mobile phone domestically.
453,JLPT2,分野,ぶんや,Bidang,"field, sphere",Noun,音楽は彼の得意な分野です。,おんがく は かれ の とくい な ぶんや です,Musik adalah bidang keahliannya.,Music is his field of specialty.
454,JLPT4,会社,かいしゃ,Perusahaan,"company, corporation",Noun,彼は小さな会社に勤めています。,かれ は ちいさ な かいしゃ に つとめて います,Dia bekerja di perusahaan kecil.,He's working for a small business firm.
455,JLPT2,関する,かんする,Terkait,"concern, relate to",Verb,その問題に関する記事を読みました。,その もんだい に かんする きじ を よみました,Saya membaca artikel terkait masalah itu.,I read an article about the problem.
456,JLPT2,状態,じょうたい,Kondisi,"state, appearance",Noun,ここは道の状態がとても悪いです。,ここ は みち の じょうたい が とても わるい です,Kondisi jalan di sini sangat buruk.,The road is in a very bad state here.
457,JLPT2,大統領,だいとうりょう,Presiden,president (of a country),Noun,フランスの大統領は誰ですか。,ふらんす の だいとうりょう は だれ です か,Siapa presiden Prancis?,Who's the president of France?
458,JLPT2,対象,たいしょう,Target,"target, object",Noun,このアンケートは大学生が対象です。,この あんけーと は だいがくせい が たいしょう です,Kuesioner ini ditujukan untuk mahasiswa.,This questionnaire targets university students.
459,JLPT2,処理,しょり,Pemrosesan,"management, process",Verbal Noun,事務的な処理に1週間かかります。,じむてき な しょり に いっしゅうかん かかります,Pemrosesan administratif membutuhkan waktu satu minggu.,The administrative processing takes one week.
460,JLPT3,女性,じょせい,Wanita,"woman, female",Noun,そのパーティーに女性は何人来ますか。,その ぱーてぃー に じょせい は なんにん きます か,Berapa banyak wanita yang datang ke pesta itu?,How many women are coming to that party?
461,JLPT4,家,いえ,Rumah,"house, home",Noun,ここが私の家です。,ここ が わたし の いえ です,Ini adalah rumah saya.,This is my house.
462,JLPT0,パソコン,パソコン,Komputer,personal computer,Noun,彼はパソコンを2台持っています。,かれ は ぱそこん を にだい もって います,Dia punya dua komputer.,He has two personal computers.
463,JLPT2,解決,かいけつ,Penyelesaian,"solution, settlement",Verbal Noun,トラブルがやっと解決した。,とらぶる が やっと かいけつ した,Masalah akhirnya terselesaikan.,The problem has finally been solved.
464,JLPT2,実現,じつげん,Terwujud,"implementation, realization",Verbal Noun,夢を実現するには努力が必要です。,ゆめ を じつげん する に は どりょく が ひつよう です,Perlu usaha untuk mewujudkan mimpi.,You need to make an effort to make your dreams come true.
465,JLPT0,多く,おおく,Banyak,"much, largely",Adverb,毎年多くの人が海外へ旅行する。,まいとし おおく の ひと が かいがい へ りょこう する,Setiap tahun banyak orang pergi ke luar negeri.,A lot of people travel abroad every year.
466,JLPT1,動き,うごき,Gerakan,"movement, motion",Noun,まず相手の動きを見ましょう。,まず あいて の うごき を みましょう,Mari kita lihat gerakan lawan terlebih dahulu.,"First, watch your opponent's moves."
467,JLPT4,話,はなし,Cerita,"talk, story",Noun,あなたの話は面白いね。,あなた の はなし は おもしろい ね,"Ceritamu menarik, ya.",Your story's interesting.
468,JLPT2,価格,かかく,Harga,"price, cost",Noun,ガソリンの価格がどんどん上がっている。,がそりん の かかく が どんどん あがって いる,Harga bensin terus naik.,The price of gasoline keeps going up fast.
469,JLPT0,上がる,あがる,Naik,"go up, rise",Verb,私たちは２階に上がった。,わたしたち は にかい に あがった,Kami naik ke lantai dua.,We went up to the second floor.
470,JLPT4,もう,もう,Lagi,"another, again",Adverb,コーヒーをもう一杯ください。,こーひー を もう いっぱい ください,Tolong beri saya secangkir kopi lagi.,Please give me another cup of coffee.
471,JLPT3,集める,あつめる,Mengumpulkan,"collect, gather",Verb,弟は切手を集めています。,おとうと は きって を あつめて います,Adik laki-laki saya mengumpulkan perangko.,My little brother collects stamps.
472,JLPT4,声,こえ,Suara,"voice, sound",Noun,彼は大きな声で話した。,かれ は おおき な こえ で はなした,Dia berbicara dengan suara keras.,He spoke loudly.
473,JLPT4,初めて,はじめて,Pertama kali,for the first time,Adverb,東京に来るのは初めてです。,とうきょう に くる の は はじめて です 。,Ini pertama kalinya saya ke Tokyo.,It's the first time I've been to Tokyo.
474,JLPT2,明らか,あきらか,Jelas,"clear, obvious",Adjective,明らかに彼が悪い。,あきらか に かれ が わるい,Jelas dia yang salah.,It's clearly his fault.
475,JLPT0,一部,いちぶ,Sebagian,part,Noun,計画を一部変更しましょう。,けいかく を いちぶ へんこう しましょう,Mari ubah sebagian rencana.,Let's change part of the plan.
476,JLPT2,調査,ちょうさ,Penyelidikan,"investigation, inquiry",Verbal Noun,私たちがその問題を調査しています。,わたしたち が その もんだい を ちょうさ して います,Kami sedang menyelidiki masalah itu.,We're investigating that problem.
477,JLPT2,党,とう,Partai,political party,Noun,党の代表が質問に答えました。,とう の だいひょう が しつもん に こたえました,Perwakilan partai menjawab pertanyaan.,The party spokesman answered the question.
478,JLPT3,変わる,かわる,Berubah,change,Verb,信号が青に変わりました。,しんごう が あお に かわりました。,Lampu lalu lintas berubah menjadi hijau.,The traffic light turned green.
479,JLPT3,社長,しゃちょう,Presiden Direktur,president (of a company),Noun,おばは小さな会社の社長です。,おば は ちいさ な かいしゃ の しゃちょう です,Bibi saya adalah presiden direktur perusahaan kecil.,My aunt is the president of a small firm.
480,JLPT2,全国,ぜんこく,Seluruh negeri,the whole country,Noun,次は全国のお天気です。,つぎ は ぜんこく の おてんき です,Selanjutnya adalah cuaca seluruh negeri.,And now for the nation's weather.
481,JLPT2,地域,ちいき,Wilayah,"region, area",Noun,この地域は雨が多い。,この ちいき は あめ が おおい,Wilayah ini banyak hujan.,There's a lot of rain in this region.
482,JLPT2,重要,じゅうよう,Penting,"important, essential",Adjectival Noun,これは重要な書類です。,これ は じゅうよう な しょるい です,Ini adalah dokumen penting.,This is an important document.
