Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
602,JLPT2,能力,のうりょく,"ability, capacity",क्षमता,Noun,彼は能力のある社員です。,उहाँ एक क्षमतावान कर्मचारी हुनुहुन्छ।,かれ は のうりょく の ある しゃいん です,He's a resourceful employee.,"Imagine a ninja (能 - のう) demonstrating its abilities (力 - りょく) by performing incredible stunts. 能力 (のうりょく) means 'ability' in Japanese. Picture the ninja saying, 'Check out my abilities!'","{'word': '能力', 'pronunciation': 'のうりょく', 'meanings': [{'nepali': 'क्षमता', 'english': 'ability, capacity', 'details': ['कुनै क्रियाकलाप वा कार्य सम्पादन गर्न सक्ने शक्ति वा दक्षता।', 'जस्तै - अध्ययन क्षमता, खेल क्षमता, काम क्षमता आदि।']}]}"
603,JLPT3,最初,さいしょ,"first, outset",सुरु,Noun,5ページの最初を見てください。,पृष्ठ ५ को सुरुमा हेर्नुहोस्।,ごぺーじ の さいしょ を みて ください,Please look at the beginning of page 5.,"Picture a samurai (最 - さい) being the first (初 - しょ) to arrive at a duel. 最初 (さいしょ) means 'first' or 'beginning' in Japanese. Picture the samurai saying, 'I’m first!'","{'word': '最初', 'pronunciation': 'さいしょ', 'meanings': [{'nepali': 'सुरु', 'english': 'first, outset', 'details': ['कुनै कार्य वा प्रक्रियाको प्रारम्भिक चरण।', 'जस्तै - सुरुवाती समय, पहिलो पाइला, पहिलो दिन आदि।']}]}"
604,JLPT3,国際,こくさい,international,अन्तर्राष्ट्रिय,Noun,ここで国際会議が開かれます。,यहाँ अन्तर्राष्ट्रिय सम्मेलन आयोजना हुँदैछ।,ここ で こくさい かいぎ が ひらかれます,An international conference is going to be held here.,"Imagine a giant globe (国 - こく) with international (際 - さい) flags waving around it. 国際 (こくさい) means 'international' in Japanese. Picture the globe saying, 'International unity!'","{'word': '国際', 'pronunciation': 'こくさい', 'meanings': [{'nepali': 'अन्तर्राष्ट्रिय', 'english': 'international', 'details': ['विभिन्न देशहरूको सहभागिता वा सम्बन्ध।', 'जस्तै - अन्तर्राष्ट्रिय व्यापार, अन्तर्राष्ट्रिय सम्मेलन, अन्तर्राष्ट्रिय सम्बन्ध आदि।']}]}"
605,JLPT2,議員,ぎいん,legislator,सांसद,Noun,彼は国会議員です。,उहाँ संसदको सदस्य हुनुहुन्छ।,かれ は こっかい ぎいん です,He's a congressman.,"Visualize a giant gear (議 - ぎ) representing a member (員 - いん) of a political assembly. 議員 (ぎいん) means 'member of parliament' in Japanese. Picture the gear saying, 'I turn the wheels of parliament!'","{'word': '議員', 'pronunciation': 'ぎいん', 'meanings': [{'nepali': 'सांसद', 'english': 'legislator', 'details': ['संसद वा विधायिका सदस्य।', 'जस्तै - सांसदहरूको काम, संसदको बैठक, संसद सदस्यको जिम्मेवारी आदि।']}]}"
606,JLPT2,記者,きしゃ,"journalist, reporter",पत्रकार,Noun,彼は新聞記者です。,उहाँ समाचारपत्रका पत्रकार हुनुहुन्छ।,かれ は しんぶん きしゃ です,He's a newspaper journalist.,"Imagine a giant key (記 - き) interviewing people as a reporter (者 - しゃ). 記者 (きしゃ) means 'reporter' in Japanese. Picture the key saying, 'Reporting live!'","{'word': '記者', 'pronunciation': 'きしゃ', 'meanings': [{'nepali': 'पत्रकार', 'english': 'journalist, reporter', 'details': ['समाचार वा जानकारी सङ्कलन गर्ने र रिपोर्ट गर्ने व्यक्ति।', 'जस्तै - समाचारपत्र पत्रकार, टिभी पत्रकार, रेडियो पत्रकार आदि।']}]}"
607,JLPT2,場所,ばしょ,"place, space",स्थान,Noun,会社の場所を教えてください。,कम्पनीको स्थान बताउनुहोस्।,かいしゃ の ばしょ を おしえて ください,Please tell me where the office is.,"Picture a giant bus (場 - ば) marking a special place (所 - しょ) on a map. 場所 (ばしょ) means 'place' in Japanese. Picture the bus saying, 'This is the place!'","{'word': '場所', 'pronunciation': 'ばしょ', 'meanings': [{'nepali': 'स्थान', 'english': 'place, space', 'details': ['कुनै निश्चित स्थान वा क्षेत्र।', 'जस्तै - काम गर्ने स्थान, भेटघाटको स्थान, खेलकुद स्थान आदि।']}]}"
608,JLPT3,運動,うんどう,"movement, exercise",व्यायाम,Verbal Noun,彼はもっと運動した方がいい。,उहाँले अझ धेरै व्यायाम गर्नु पर्छ।,かれ は もっと うんどう した ほう が いい,He should exercise more.,"Imagine a giant unicycle (運 - うん) leading a sports (動 - どう) parade. 運動 (うんどう) means 'exercise' or 'movement' in Japanese. Picture the unicycle saying, 'Let’s get moving!'","{'word': '運動', 'pronunciation': 'うんどう', 'meanings': [{'nepali': 'व्यायाम', 'english': 'movement, exercise', 'details': ['शारीरिक फिटनेसको लागि गरिने गतिविधि।', 'जस्तै - दौड, जिममा व्यायाम, योग आदि।']}]}"
609,JLPT2,サービス,サービス,"service, on the house",सेवा,Verbal Noun,この店はサービスがいい。,यो पसलको सेवा राम्रो छ।,この みせ は さーびす が いい 。,The service in this store is good.,"Visualize a server (サービス) juggling plates while singing, 'Service with a smile!' サービス (さーびす) means 'service' in Japanese. Picture the server saying, 'Always at your service!'","{'word': 'サービス', 'pronunciation': 'さーびす', 'meanings': [{'nepali': 'सेवा', 'english': 'service, on the house', 'details': ['ग्राहकको आवश्यकता पूरा गर्ने गतिविधि वा सुविधा।', 'जस्तै - ग्राहक सेवा, खाना सेवा, होटेल सेवा आदि।']}]}"
610,JLPT0,集まる,あつまる,"gather, be collected",भेला हुनु,Verb,駅前に人が集まっています。,स्टेशनअगाडि मान्छेहरू भेला भएका छन्।,えきまえ に ひと が あつまって います,Lots of people are gathered in front of the station.,"Picture a giant mat (集 - あつ) where ants are gathering (集まる - あつまる) for a picnic. 集まる (あつまる) means 'to gather' in Japanese. Picture the ants saying, 'Gather around!'","{'word': '集まる', 'pronunciation': 'あつまる', 'meanings': [{'nepali': 'भेला हुनु', 'english': 'gather, be collected', 'details': ['कुनै निश्चित स्थानमा मानिस वा वस्तुहरू जम्मा हुनु।', 'जस्तै - मित्रहरूसँग भेटघाट, सभा, बैठक आदि।']}]}"
611,JLPT1,政策,せいさく,"policy, political measures",नीति,Noun,新しい政策はあまり良いとは思えません。,नयाँ नीति त्यति राम्रो लागेन।,あたらしい せいさく は あまり いい と は おもえません,I don't think the new policy is very good.,"Imagine a samurai (政 - せい) with a sack (策 - さく) full of policies. 政策 (せいさく) means 'policy' in Japanese. Picture the samurai saying, 'Policy in hand!'","{'word': '政策', 'pronunciation': 'せいさく', 'meanings': [{'nepali': 'नीति', 'english': 'policy, political measures', 'details': ['सरकार वा संगठनद्वारा अपनाइएको नियम वा निर्देश।', 'जस्तै - आर्थिक नीति, शैक्षिक नीति, स्वास्थ्य नीति आदि।']}]}"
612,JLPT4,車,くるま,car,गाडी,Noun,この道は車が多い。,यो बाटोमा धेरै गाडीहरू छन्।,この みち は くるま が おおい,There are many cars on this road.,"Visualize a giant car (車 - くるま) driving through a jungle. 車 (くるま) means 'car' in Japanese. Picture the car saying, 'Let’s go on a drive!'","{'word': '車', 'pronunciation': 'くるま', 'meanings': [{'nepali': 'गाडी', 'english': 'car', 'details': ['मोटर चल्ने सवारी साधन।', 'जस्तै - निजी गाडी, ट्याक्सी, बस आदि।']}]}"
613,JLPT2,拡大,かくだい,"magnification, enlargement",विस्तार,Verbal Noun,この図を拡大コピーしてください。,यो चित्रलाई ठूलो बनाएर प्रतिलिपि गर्नुहोस्।,この ず を かくだい こぴー して ください,Please make an enlargement of this chart.,"Imagine a kangaroo (拡 - かく) with a magnifying glass enlarging (大 - だい) everything it sees. 拡大 (かくだい) means 'enlargement' in Japanese. Picture the kangaroo saying, 'Making it bigger!'","{'word': '拡大', 'pronunciation': 'かくだい', 'meanings': [{'nepali': 'विस्तार', 'english': 'magnification, enlargement', 'details': ['कुनै वस्तुको आकार वा माप बढाउने कार्य।', 'जस्तै - फोटो विस्तार, व्यापार विस्तार, परियोजना विस्तार आदि।']}]}"
614,JLPT2,進む,すすむ,"advance, move forward",अगाडि बढ्नु,Verb,前に進んでください。,अगाडि बढ्नुहोस्।,まえ に すすんで ください,Please move forward.,"Picture a spaceship (進 - すす) moving forward (進む - すすむ) through space. 進む (すすむ) means 'to advance' in Japanese. Picture the spaceship saying, 'Forward we go!'","{'word': '進む', 'pronunciation': 'すすむ', 'meanings': [{'nepali': 'अगाडि बढ्नु', 'english': 'advance, move forward', 'details': ['कुनै निश्चित दिशा वा गन्तव्य तर्फ अगाडि बढ्ने कार्य।', 'जस्तै - करियरमा प्रगति, परियोजनामा अगाडि बढ्नु आदि।']}]}"
615,JLPT2,達する,たっする,"attain, reach",पुग्नु,Verb,気温は35度に達した。,तापक्रम ३५ डिग्रीमा पुग्यो।,きおん は さんじゅうごど に たっした,The temperature reached 35 degrees.,"Imagine a taxi (達 - たつ) reaching (達する - たっする) its destination on time. 達する (たっする) means 'to reach' in Japanese. Picture the taxi saying, 'We’ve reached our goal!'","{'word': '達する', 'pronunciation': 'たっする', 'meanings': [{'nepali': 'पुग्नु', 'english': 'attain, reach', 'details': ['कुनै निश्चित स्तर वा गन्तव्यमा पुग्नु।', 'जस्तै - लक्ष्यमा पुग्नु, तापक्रम पुग्नु, गन्तव्यमा पुग्नु आदि।']}]}"
616,JLPT3,会議,かいぎ,"conference, meeting",बैठक,Verbal Noun,今日の午後、大事な会議があります。,आज दिउँसो महत्वपूर्ण बैठक छ।,きょう の ごご だいじ な かいぎ が あります,There's an important meeting this afternoon.,"Visualize a conference room (会 - かい) filled with giant gears (議 - ぎ) having a meeting. 会議 (かいぎ) means 'meeting' in Japanese. Picture the gears saying, 'Meeting in progress!'","{'word': '会議', 'pronunciation': 'かいぎ', 'meanings': [{'nepali': 'बैठक', 'english': 'conference, meeting', 'details': ['कुनै समूह वा संगठनको औपचारिक भेला।', 'जस्तै - कम्पनीको बैठक, परियोजना बैठक, परिवारको बैठक आदि।']}]}"
617,JLPT2,装置,そうち,"equipment, device",उपकरण,Noun,実験にはこの装置を使います。,प्रयोगको लागि यो उपकरण प्रयोग गरिन्छ।,じっけん に は この そうち を つかいます,We use this device in our experiments.,"Imagine a giant sewing machine (装 - そう) creating gadgets (置 - ち). 装置 (そうち) means 'device' in Japanese. Picture the sewing machine saying, 'Creating devices!'","{'word': '装置', 'pronunciation': 'そうち', 'meanings': [{'nepali': 'उपकरण', 'english': 'equipment, device', 'details': ['विशेष कामको लागि प्रयोग गरिने मेसिन वा यन्त्र।', 'जस्तै - प्रयोगशाला उपकरण, कम्प्युटर उपकरण, खेलकुद उपकरण आदि।']}]}"
618,JLPT2,主張,しゅちょう,"insistence, assertion",दाबी,Verbal Noun,上司は私の主張を受け入れた。,मेरो दाबीलाई मेरो वरिष्ठले स्विकारे।,じょうし は わたし の しゅちょう を うけいれた,My boss accepted my argument.,"Picture a giant shoe (主 - しゅ) arguing (張 - ちょう) its case in a courtroom. 主張 (しゅちょう) means 'assertion' in Japanese. Picture the shoe saying, 'I assert my point!'","{'word': '主張', 'pronunciation': 'しゅちょう', 'meanings': [{'nepali': 'दाबी', 'english': 'insistence, assertion', 'details': ['आफ्नो विचार वा अधिकारको लागि दृढता देखाउनु।', 'जस्तै - अधिकारको दाबी, विचारको दाबी, सहमतिको दाबी आदि।']}]}"
619,JLPT2,記録,きろく,"record, documentation",रेखाङ्कन,Verbal Noun,マラソンで世界記録が出た。,म्याराथनमा विश्व रेकर्ड बन्यो।,まらそん で せかい きろく が でた,There was a new world record in the marathon.,"Imagine a giant record player (記 - き) keeping track (録 - ろく) of history. 記録 (きろく) means 'record' in Japanese. Picture the record player saying, 'Recording history!'","{'word': '記録', 'pronunciation': 'きろく', 'meanings': [{'nepali': 'रेखाङ्कन', 'english': 'record, documentation', 'details': ['कुनै घटनाको लिखित वा दृश्य रूपमा सुरक्षित राखिएको प्रमाण।', 'जस्तै - खेलकुद रेकर्ड, कानुनी रेकर्ड, व्यक्तिगत रेकर्ड आदि।']}]}"
620,JLPT2,年度,ねんど,"year, school year",वर्ष,Noun,売り上げは年度によって違います。,बिक्री वर्ष अनुसार फरक हुन्छ।,うりあげ は ねんど に よって ちがいます,Sales differ by fiscal year.,"Visualize a giant calendar (年 - ねん) celebrating each year (度 - ど). 年度 (ねんど) means 'year' in Japanese. Picture the calendar saying, 'Happy new year!'","{'word': '年度', 'pronunciation': 'ねんど', 'meanings': [{'nepali': 'वर्ष', 'english': 'year, school year', 'details': ['कुनै निश्चित कार्य वा शैक्षिक कार्यक्रमको लागि समय अवधि।', 'जस्तै - शैक्षिक वर्ष, वित्तीय वर्ष, कामको वर्ष आदि।']}]}"
621,JLPT2,産業,さんぎょう,industry,उद्योग,Noun,日本の自動車産業は世界的に有名だ。,जापानको मोटर वाहन उद्योग विश्व प्रसिद्ध छ।,にほん の じどうしゃ さんぎょう は せかいてき に ゆうめい だ,The Japanese auto industry is famous worldwide.,"Picture a giant factory (産 - さん) producing geese (業 - ぎょう). 産業 (さんぎょう) means 'industry' in Japanese. Picture the factory saying, 'Industry in action!'","{'word': '産業', 'pronunciation': 'さんぎょう', 'meanings': [{'nepali': 'उद्योग', 'english': 'industry', 'details': ['सामान वा सेवाहरू उत्पादन गर्ने आर्थिक क्षेत्र।', 'जस्तै - मोटर वाहन उद्योग, टेक्सटाइल उद्योग, सूचना प्रविधि उद्योग आदि।']}]}"
622,JLPT1,背景,はいけい,"background, scenery, setting",पृष्ठभूमि,Noun,事件の背景に何があったのだろう。,घटनाको पृष्ठभूमिमा के थियो भनेर सोच्दै छु।,じけん の はいけい に なに が あった の だろう,I wonder what was behind the incident.,"Imagine a haystack (背 - はい) as the background (景 - けい) in a farm scene. 背景 (はいけい) means 'background' in Japanese. Picture the haystack saying, 'I’m the backdrop!'","{'word': '背景', 'pronunciation': 'はいけい', 'meanings': [{'nepali': 'पृष्ठभूमि', 'english': 'background, scenery, setting', 'details': ['कुनै घटनाको सन्दर्भ वा परिस्थिति।', 'जस्तै - पारिवारिक पृष्ठभूमि, ऐतिहासिक पृष्ठभूमि, सांस्कृतिक पृष्ठभूमि आदि।']}]}"
623,JLPT2,材料,ざいりょう,"material, factor",सामग्री,Noun,サラダの材料をそろえました。,सालादको सामग्री जुटाएँ।,さらだ の ざいりょう を そろえました,I have all the ingredients for the salad.,"Visualize a giant zamboni (材 - ざい) gathering materials (料 - りょう) on an ice rink. 材料 (ざいりょう) means 'materials' in Japanese. Picture the zamboni saying, 'Collecting materials!'","{'word': '材料', 'pronunciation': 'ざいりょう', 'meanings': [{'nepali': 'सामग्री', 'english': 'material, factor', 'details': ['कुनै वस्तु वा उत्पादनको लागि आवश्यक घटकहरू।', 'जस्तै - निर्माण सामग्री, खानाको सामग्री, कपडाको सामग्री आदि।']}]}"
624,JLPT2,要求,ようきゅう,"requirement, demand",माग,Verbal Noun,彼は私の要求にこたえた。,उहाँले मेरो माग पूरा गर्नुभयो।,かれ は わたし の ようきゅう に こたえた,He answered my demands.,"Picture a yak (要 - よう) demanding (求 - きゅう) more hay. 要求 (ようきゅう) means 'demand' in Japanese. Picture the yak saying, 'I demand hay!'","{'word': '要求', 'pronunciation': 'ようきゅう', 'meanings': [{'nepali': 'माग', 'english': 'requirement, demand', 'details': ['कुनै वस्तु वा सेवा प्राप्त गर्न गरिएको अनुरोध।', 'जस्तै - कामको माग, उत्पादनको माग, सेवाको माग आदि।']}]}"
625,JLPT2,市民,しみん,"citizens, townsmen",नागरिक,Noun,市民の安全は大切だ。,नागरिकहरूको सुरक्षा महत्त्वपूर्ण छ।,しみん の あんぜん は たいせつ だ,The citizens' safety is important.,"Imagine a giant city (市 - し) with tiny people (民 - みん) living in it. 市民 (しみん) means 'citizen' in Japanese. Picture the city saying, 'Citizens everywhere!'","{'word': '市民', 'pronunciation': 'しみん', 'meanings': [{'nepali': 'नागरिक', 'english': 'citizens, townsmen', 'details': ['कुनै शहर वा राष्ट्रको बासिन्दा।', 'जस्तै - स्थानीय नागरिक, शहरका बासिन्दा, राष्ट्रिय नागरिक आदि।']}]}"
626,JLPT2,世紀,せいき,century,सदी,Noun,新しい世紀の始まりです。,नयाँ सदीको सुरुवात हो।,あたらしい せいき の はじまり です,It's the start of a new century.,"Picture a centipede (世 - せい) holding a century (紀 - き) timer. 世紀 (せいき) means 'century' in Japanese. Picture the centipede saying, 'A century of time!'","{'word': '世紀', 'pronunciation': 'せいき', 'meanings': [{'nepali': 'सदी', 'english': 'century', 'details': ['एक सय वर्षको समय अवधि।', 'जस्तै - २१औं सदी, २०औं सदी, मध्य सदी आदि।']}]}"
627,JLPT1,大幅,おおはば,"drastically, substantially",विशाल,Adverb,計画を大幅に変更した。,योजनामा धेरै परिवर्तन गरियो।,けいかく を おおはば に へんこう した,We substantially changed the plan.,"Visualize a giant (大 - だい) scarf (幅 - はば) covering a whole street. 大幅 (おおはば) means 'large scale' in Japanese. Picture the scarf saying, 'I cover everything!'","{'word': '大幅', 'pronunciation': 'おおはば', 'meanings': [{'nepali': 'विशाल', 'english': 'drastically, substantially', 'details': ['कुनै कुरामा ठूलो मात्रामा परिवर्तन हुनु।', 'जस्तै - योजनामा परिवर्तन, नीति परिवर्तन, बजेट परिवर्तन आदि।']}]}"
628,JLPT1,加工,かこう,"processing, manufacturing",प्रक्रिया,Verbal Noun,この工場では魚を加工している。,यो कारखानामा माछा प्रक्रिया गरिन्छ।,この こうじょう で は さかな を かこう して いる,This factory processes fish.,"Imagine a giant kangaroo (加 - か) working in a factory (工 - こう) processing goods. 加工 (かこう) means 'processing' in Japanese. Picture the kangaroo saying, 'Processing the goods!'","{'word': '加工', 'pronunciation': 'かこう', 'meanings': [{'nepali': 'प्रक्रिया', 'english': 'processing, manufacturing', 'details': ['कुनै वस्तु वा सामग्रीलाई प्रयोग योग्य बनाउन गरिएको कार्य।', 'जस्तै - खाना प्रक्रिया, उद्योग प्रक्रिया, उत्पादन प्रक्रिया आदि।']}]}"
629,JLPT2,実行,じっこう,"practice, execution",कार्यान्वयन,Verbal Noun,彼はその計画を実行した。,उहाँले त्यो योजना कार्यान्वयन गर्नुभयो।,かれ は その けいかく を じっこう した,He executed the plan.,"Picture a genie (実 - じつ) executing (行 - こう) a master plan. 実行 (じっこう) means 'execution' or 'implementation' in Japanese. Picture the genie saying, 'Plan executed!'","{'word': '実行', 'pronunciation': 'じっこう', 'meanings': [{'nepali': 'कार्यान्वयन', 'english': 'practice, execution', 'details': ['योजनालाई वास्तविकतामा परिणत गर्ने कार्य।', 'जस्तै - परियोजना कार्यान्वयन, योजना कार्यान्वयन, नीति कार्यान्वयन आदि।']}]}"
630,JLPT2,判断,はんだん,"judgment, decision",निर्णय,Verbal Noun,彼の判断は正しい。,उहाँको निर्णय सही थियो।,かれ の はんだん は ただしい,His judgment is correct.,"Visualize a giant panda (判 - はん) making a judgment (断 - だん) in a court. 判断 (はんだん) means 'judgment' in Japanese. Picture the panda saying, 'Judgment passed!'","{'word': '判断', 'pronunciation': 'はんだん', 'meanings': [{'nepali': 'निर्णय', 'english': 'judgment, decision', 'details': ['कुनै कुराको सही वा गलतको मूल्याङ्कन गरेर निष्कर्षमा पुग्नु।', 'जस्तै - निर्णय प्रक्रिया, न्यायिक निर्णय, व्यक्तिगत निर्णय आदि।']}]}"
631,JLPT2,組織,そしき,"organization, constitution, tissue",संगठन,Verbal Noun,彼はある組織のリーダーだ。,उहाँ एउटा संगठनको नेता हुनुहुन्छ।,かれ は ある そしき の りーだー だ,He's the leader of a certain organization.,"Picture a sock (組 - そ) organizing (織 - しき) other socks in a drawer. 組織 (そしき) means 'organization' in Japanese. Picture the sock saying, 'Let’s get organized!'","{'word': '組織', 'pronunciation': 'そしき', 'meanings': [{'nepali': 'संगठन', 'english': 'organization, constitution, tissue', 'details': ['मानिस वा तत्वहरूको समूह जसले कुनै उद्देश्यको लागि काम गर्दछ।', 'जस्तै - गैर सरकारी संगठन, कम्पनी संगठन, समुदाय संगठन आदि।']}]}"
632,JLPT3,輸出,ゆしゅつ,export,निर्यात,Verbal Noun,彼の会社は車を輸出しています。,उहाँको कम्पनीले गाडी निर्यात गर्छ।,かれ の かいしゃ は くるま を ゆしゅつ して います,His company exports cars.,"Imagine a giant UFO (輸 - ゆ) exporting (出 - しゅつ) aliens to Earth. 輸出 (ゆしゅつ) means 'export' in Japanese. Picture the UFO saying, 'Exporting aliens!'","{'word': '輸出', 'pronunciation': 'ゆしゅつ', 'meanings': [{'nepali': 'निर्यात', 'english': 'export', 'details': ['कुनै वस्तु वा सेवालाई अन्य देशमा बेच्ने कार्य।', 'जस्तै - व्यापार निर्यात, कृषि निर्यात, वस्त्र निर्यात आदि।']}]}"
633,JLPT3,警察,けいさつ,police,प्रहरी,Noun,警察を呼んでください。,प्रहरीलाई बोलाउनुहोस्।,けいさつ を よんで ください,Call the police.,"Picture a giant caterpillar (警 - けい) as a police officer (察 - さつ) catching thieves. 警察 (けいさつ) means 'police' in Japanese. Picture the caterpillar saying, 'You’re under arrest!'","{'word': '警察', 'pronunciation': 'けいさつ', 'meanings': [{'nepali': 'प्रहरी', 'english': 'police', 'details': ['कानून र सुरक्षा व्यवस्थापन गर्ने निकाय।', 'जस्तै - स्थानीय प्रहरी, राष्ट्रिय प्रहरी, यातायात प्रहरी आदि।']}]}"
634,JLPT3,伝える,つたえる,"convey, transmit, hand down",सन्देश दिनु,Verb,みんなにこのことを伝えてください。,सबैलाई यो कुरा सन्देश दिनुहोस्।,みんな に この こと を つたえて ください,Please tell everyone about this matter.,"Imagine a train (伝 - つた) delivering (伝える - つたえる) important messages to people. 伝える (つたえる) means 'to convey' in Japanese. Picture the train saying, 'Message delivered!'","{'word': '伝える', 'pronunciation': 'つたえる', 'meanings': [{'nepali': 'सन्देश दिनु', 'english': 'convey, transmit, hand down', 'details': ['कुनै जानकारी वा विचार अरूसम्म पुर्याउनु।', 'जस्तै - समाचार सन्देश दिनु, सूचना सन्देश दिनु, परम्परा सन्देश दिनु आदि।']}]}"
635,JLPT0,公開,こうかい,opening (to the public),सार्वजनिक,Verbal Noun,その映画は今日、公開されます。,त्यो चलचित्र आज सार्वजनिक हुन्छ।,その えいが は きょう こうかい されます,The movie opens to the public today.,"Visualize a giant coconut (公 - こう) opening (開 - かい) to reveal a public gathering. 公開 (こうかい) means 'public' or 'open' in Japanese. Picture the coconut saying, 'Open for all!'","{'word': '公開', 'pronunciation': 'こうかい', 'meanings': [{'nepali': 'सार्वजनिक', 'english': 'opening (to the public)', 'details': ['कुनै कुरालाई सर्वसाधारणको पहुँचमा ल्याउने कार्य।', 'जस्तै - सार्वजनिक समारोह, सार्वजनिक जानकारी, सार्वजनिक स्थल आदि।']}]}"
636,JLPT0,向かう,むかう,"face, confront, head toward",तर्फ लाग्नु,Verb,今、会社に向かっています。,अहिले कम्पनीतर्फ लाग्दैछु।,いま かいしゃ に むかって います,I'm heading for the office right now.,"Imagine a mouse (向 - む) heading (向かう - むかう) towards a cheese factory. 向かう (むかう) means 'to head towards' in Japanese. Picture the mouse saying, 'Heading to the cheese!'","{'word': '向かう', 'pronunciation': 'むかう', 'meanings': [{'nepali': 'तर्फ लाग्नु', 'english': 'face, confront, head toward', 'details': ['कुनै निश्चित दिशा वा गन्तव्यतर्फ जाने कार्य।', 'जस्तै - कामतर्फ लाग्नु, घरतर्फ लाग्नु, उद्देश्यतर्फ लाग्नु आदि।']}]}"
637,JLPT3,直す,なおす,"repair, cure, alter",मर्मत गर्नु,Verb,私がそれを直しました。,मैले यसलाई मर्मत गरें।,わたし が それ を なおしました,I mended it.,"Picture a giant nacho (直 - なお) fixing (直す - なおす) a broken salsa bowl. 直す (なおす) means 'to fix' in Japanese. Picture the nacho saying, 'Fixing the salsa!'","{'word': '直す', 'pronunciation': 'なおす', 'meanings': [{'nepali': 'मर्मत गर्नु', 'english': 'repair, cure, alter', 'details': ['कुनै बिग्रिएको वा खराब भएको चिजलाई ठीक गर्नु।', 'जस्तै - कम्प्युटर मर्मत, स्वास्थ्य मर्मत, घर मर्मत आदि।']}]}"
638,JLPT0,具体的,ぐたいてき,"concrete, specific",निर्दिष्ट,Adjectival Noun,具体的な例をいくつか見せてください。,केही निर्दिष्ट उदाहरणहरू देखाउनुहोस्।,ぐたいてき な れい を いくつか みせて ください,Please show me some concrete examples.,"Imagine a goo (具体 - ぐ) turning into a solid form (的 - てき). 具体的 (ぐたいてき) means 'concrete' or 'specific' in Japanese. Picture the goo saying, 'Becoming specific!'","{'word': '具体的', 'pronunciation': 'ぐたいてき', 'meanings': [{'nepali': 'निर्दिष्ट', 'english': 'concrete, specific', 'details': ['कुनै विषय वा कुरा स्पष्ट र विवरणमा।', 'जस्तै - निर्दिष्ट उदाहरण, निर्दिष्ट योजना, निर्दिष्ट सुझाव आदि।']}]}"
639,JLPT2,願う,ねがう,"wish, ask a favor, apply for",कामना गर्नु,Verb,彼が元気になるよう願っています。,उहाँको स्वास्थ्य सुधारको कामना गर्दछु।,かれ が げんき に なる よう ねがって います,We're praying that he gets well.,"Visualize a giant gnome (願 - ねが) making a wish (願う - ねがう) on a star. 願う (ねがう) means 'to wish' in Japanese. Picture the gnome saying, 'I wish for it!'","{'word': '願う', 'pronunciation': 'ねがう', 'meanings': [{'nepali': 'कामना गर्नु', 'english': 'wish, ask a favor, apply for', 'details': ['कुनै कुरा पूरा होस् भन्ने चाहना राख्नु।', 'जस्तै - स्वास्थ्यको कामना, सफलताको कामना, शान्तिको कामना आदि।']}]}"
640,JLPT2,グループ,グループ,group,समूह,Noun,店に学生のグループが来た。,पसलमा विद्यार्थीहरूको समूह आयो।,みせ に がくせい の ぐるーぷ が きた,A group of students came to the shop.,"Imagine a group of grapes (グループ) having a party. グループ (ぐるーぷ) means 'group' in Japanese. Picture the grapes saying, 'Party time!'","{'word': 'グループ', 'pronunciation': 'ぐるーぷ', 'meanings': [{'nepali': 'समूह', 'english': 'group', 'details': ['मानिसहरूको समूह जो सँगै केही गर्छन्।', 'जस्तै - विद्यार्थी समूह, काम गर्ने समूह, परिवार समूह आदि।']}]}"
641,JLPT2,個人,こじん,individual,व्यक्तिगत,Noun,これは私個人の意見です。,यो मेरो व्यक्तिगत विचार हो।,これ は わたし こじん の いけん です,This is my personal opinion.,"Picture a giant koi fish (個 - こ) representing an individual (人 - じん). 個人 (こじん) means 'individual' in Japanese. Picture the koi saying, 'I’m unique!'","{'word': '個人', 'pronunciation': 'こじん', 'meanings': [{'nepali': 'व्यक्तिगत', 'english': 'individual', 'details': ['कुनै एक व्यक्ति वा उसको सम्बन्धित कुरा।', 'जस्तै - व्यक्तिगत विचार, व्यक्तिगत काम, व्यक्तिगत जीवन आदि।']}]}"
642,JLPT2,基づく,もとづく,be based on,आधारित,Verb,この話は真実に基づいています。,यो कुरा सत्यमा आधारित छ।,この はなし は しんじつ に もとづいて います,This story is based on truth.,"Imagine a giant kite (基 - もと) being based on (基づく - もとづく) a solid foundation. 基づく (もとづく) means 'to be based on' in Japanese. Picture the kite saying, 'I’m based on strong winds!'","{'word': '基づく', 'pronunciation': 'もとづく', 'meanings': [{'nepali': 'आधारित', 'english': 'be based on', 'details': ['कुनै आधार वा सन्दर्भमा स्थापित।', 'जस्तै - तथ्यमा आधारित, अध्ययनमा आधारित, अनुसन्धानमा आधारित आदि।']}]}"
